Arrival Mean,Average Service Mean,Total no of vehicles,No of motorcycles,No of cars,No of buses,No of trucks,No of active servers,Traffic Intensity,Max Delay,Average Delay,Max Queue Length,Average Queue Length,Busy Ratio,Idle Ratio,Runtime,Throughput
5,3.00496,50,375,390,372,363,3,0.1,35.6157,22.0021,10.6429,7.18387,0.991882,0.00811797,2484.12,150.318
5,2.04374,75,559,535,588,568,3,0.15,44.6677,36.40743,26.25,18.445,0.993735,0.00626488,3817.37,149.102
5,1.1504,100,793,719,722,766,2,0.2,82.4844,60.83361,26.25,17.2782,0.996331,0.00366854,7368.84,107.312
5,1.16107,120,849,919,914,918,3,0.24,48.3665,34.80313,38.5833,26.5845,0.996473,0.00352699,5870.22,151.081
5,0.973646,150,1138,1076,1126,1160,3,0.3,54.5682,41.4735,62.0781,50.9743,0.99669,0.00331009,7497.23,150.018
5,0.883325,180,1276,1378,1377,1369,3,0.36,57.9147,45.07927,79.2586,63.3378,0.997154,0.00284579,9127.96,149.289
5,0.889762,200,1462,1554,1460,1524,2,0.4,88.962,69.21225,122.224,98.87,0.996949,0.00305113,15082.7,104.587
5,0.599659,220,1646,1661,1652,1641,3,0.44,56.4392,47.81751,77.3906,62.8751,0.998099,0.00190062,11154,149.3
5,0.520358,250,1846,1876,1917,1861,2,0.5,97.4075,77.3922,177.472,142.934,0.99814,0.0018598,12314,116.744
5,0.474367,280,2129,2134,2008,2129,3,0.56,90.6042,78.09,179.775,155.206,0.998352,0.00164843,13890.7,150.39
5,0.452322,300,2299,2242,2191,2268,3,0.6,74.4212,58.04837,176.821,156.799,0.998309,0.00169104,14637.8,151.207
5,0.479197,330,2499,2469,2411,2521,2,0.66,101.203,86.7958,331.9,290.063,0.998188,0.00181209,24030,114.182
5,0.461114,350,2611,2636,2678,2575,3,0.7,83.5648,69.23698,255.036,211.452,0.998238,0.0017616,17819.8,149.086
5,0.325581,400,3032,2988,3037,2943,3,0.8,57.0013,46.05677,166.438,141.93,0.998863,0.00113722,19693.7,150.766
5,0.312688,500,3687,3838,3684,3791,3,1,99.6711,79.26032,378.69,328.331,0.99874,0.00125954,25141,149.718
